filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 54.06±15.71, 95.24±2.23, <0.0001, 98.27±1.27, 0.2824, 98.04±1.45, 0.1052, 22.07±4.05, <0.0001, 46.96±13.72, <0.0001, 2±0.0, <0.0001, 98.64±1.37, 38.07±6.01, 53.33±0.21
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 42.08±16.25, 95.53±3.98, <0.0001, 98.02±1.71, 0.0018, 98.05±1.91, 0.0051, 21.63±2.77, 0.0348, 49.76±18.75, <0.0001, 2±0.0, <0.0001, 99.16±0.85, 24.07±5.51, 41.73±0.14
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 36.35±12.1, 95.38±3.88, <0.0001, 98.27±1.93, 0.1602, 98.59±1.83, 0.5084, 23.03±2.8, <0.0001, 42.79±15.84, <0.0001, 2±0.0, <0.0001, 98.84±1.06, 17.9±4.79, 35.93±0.13
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 32.21±9.88, 96.41±3.41, 0.0002, 98.65±1.47, 0.2559, 98.86±1.25, 0.5272, 21.27±2.16, <0.0001, 45.12±21.23, <0.0001, 2±0.0, <0.0001, 99.06±1.3, 14.47±3.62, 31.9±0.13
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 26.24±13.27, 96.31±4.64, 0.0061, 98.49±1.82, 0.4318, 98.38±3.23, 0.4954, 21.87±3.36, <0.0001, 47.61±22.64, <0.0001, 2±0.0, <0.0001, 98.82±1.37, 9.87±3.8, 25.93±0.18
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 18.14±12.69, 98.34±3.27, 0.3813, 98.79±1.74, 0.7543, 99.33±1.17, 0.2445, 21.77±2.94, <0.0001, 42.89±27.82, <0.0001, 2±0.0, <0.0001, 98.92±1.53, 5.73±3.42, 17.94±0.19
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 89.67±4.9, 96.92±1.41, 0.8069, 71.23±2.5, <0.0001, 98.18±1.13, 0.0256, 22.1±3.35, <0.0001, 91.46±4.05, <0.0001, 3.73±0.45, <0.0001, 96.76±3.21, 15.97±3.61, 86.76±0.16
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 88.01±5.16, 96.72±2.17, 0.4593, 69.52±2.97, <0.0001, 98.25±1.26, 0.1357, 21.87±3.12, <0.0001, 90.14±5.61, <0.0001, 3.7±0.47, <0.0001, 97.26±3.34, 14.1±2.76, 85.6±0.17
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 87.61±4.81, 97.65±1.48, 0.5827, 71.17±3.94, <0.0001, 98.34±0.96, 0.018, 20.97±2.77, <0.0001, 91.73±4.81, <0.0001, 3.7±0.47, <0.0001, 97.41±1.86, 13.1±2.96, 85.34±0.09
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 86.4±6.06, 97.41±1.77, 0.1711, 71.13±3.21, <0.0001, 98.61±1.23, 0.0017, 22.1±3.08, <0.0001, 91.74±4.79, <0.0001, 3.73±0.45, <0.0001, 96.44±3.38, 11.5±1.98, 83.33±0.2
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 86.1±6.27, 97.83±1.65, 0.0359, 71.87±4.13, <0.0001, 98.45±1.19, 0.0009, 22.13±3.22, <0.0001, 92.65±3.61, <0.0001, 3.7±0.47, <0.0001, 96.62±2.59, 10.87±2.76, 83.19±0.16
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 83.13±5.73, 97.86±1.9, 0.3172, 70.89±3.4, <0.0001, 98.78±1.15, 0.0049, 21.37±2.68, <0.0001, 91.67±4.85, <0.0001, 3.7±0.47, <0.0001, 97.27±2.58, 9.43±1.74, 80.87±0.15
