filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 45.29±9.79, 16.67±37.9, 0.4025, 13.33±34.57, 0.6292, 13.33±34.57, 0.6292, 26.63±3.58, <0.0001, 17.78±36.86, 0.3269, 5.7±1.32, <0.0001, 9.36±28.56, 0.97±0.18, 4.24±2.8
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 37.25±28.75, 19.17±39.07, 0.9567, 20.0±40.68, 0.8933, 22.94±42.31, 0.68, 24.73±2.43, <0.0001, 22.68±41.89, 0.6964, 5.53±1.04, <0.0001, 18.63±38.05, 0.77±0.57, 6.94±10.94
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 90.98±16.33, 87.51±29.9, 0.8868, 87.83±29.94, 0.8548, 87.8±29.98, 0.8574, 24.87±3.55, <0.0001, 86.82±29.64, 0.9582, 3.53±0.51, 0.0236, 86.42±29.59, 3.17±0.7, 78.62±4.83
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 80.39±22.77, 74.3±41.88, 0.6997, 71.45±43.93, 0.901, 71.6±44.0, 0.8907, 25.07±3.74, <0.0001, 70.89±43.59, 0.9401, 3.63±0.76, <0.0001, 70.05±43.15, 2.4±0.77, 56.31±9.83
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 73.73±24.66, 60.0±46.69, 0.9994, 60.87±47.29, 0.9433, 61.26±47.53, 0.9183, 26±4.06, <0.0001, 60.08±46.64, 0.9952, 3.63±0.61, <0.0001, 60.01±46.68, 2±0.74, 44.24±11.51
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 52.94±20.95, 32.21±46.37, 0.8193, 29.61±46.02, 0.991, 29.39±45.68, 0.9941, 25.5±2.84, <0.0001, 28.76±44.78, 0.9517, 3.53±0.63, <0.0001, 29.47±45.87, 1.3±0.65, 15.6±9.61
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 46.67±12.54, 23.14±42.67, 0.3067, 22.88±42.21, 0.3157, 22.88±42.21, 0.3157, 25.07±2.6, <0.0001, 12.66±32.84, 0.9761, 3.47±0.51, <0.0001, 12.92±33.55, 1.03±0.18, 6.03±4.21
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 49.02±16.52, 25.33±42.89, 0.961, 26.25±44.3, 0.8964, 26.25±44.3, 0.8964, 25.27±4.5, <0.0001, 26.47±44.66, 0.8812, 3.6±0.56, <0.0001, 24.79±41.93, 1.1±0.31, 12.15±6.93
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 48.24±16.08, 26.76±42.16, 0.443, 31.83±46.15, 0.2361, 28.5±44.64, 0.3666, 26±3.62, <0.0001, 19.35±39.39, 0.951, 3.57±0.57, <0.0001, 18.73±38.22, 1.07±0.25, 9.04±6.15
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 43.92±15.19, 11.93±31.07, 0.6798, 12.92±33.55, 0.604, 12.92±33.55, 0.604, 25.07±3.74, <0.0001, 9.8±29.93, 0.8939, 3.63±0.61, <0.0001, 8.82±26.95, 1±0.26, 3.87±4.09
