filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 32.16±10.0, 99.63±0.89, 0.0252, 100.0±0.0, nan, 100.0±0.0, nan, 21.4±1.65, <0.0001, 100.0±0.0, nan, 25.77±4.9, <0.0001, 100.0±0.0, 5.5±1.57, 32.16±0.0
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 18.9±7.09, 96.19±18.25, 0.9193, 96.67±18.26, 1.0, 96.67±18.26, 1.0, 21.27±1.48, <0.0001, 96.67±18.26, 1.0, 25.4±4.55, <0.0001, 96.67±18.26, 2.47±0.78, 18.27±1.29
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 10.72±6.51, 86.67±34.57, 1.0, 86.67±34.57, 1.0, 86.67±34.57, 1.0, 21.33±2.11, <0.0001, 86.67±34.57, 1.0, 26.73±5.47, <0.0001, 86.67±34.57, 0.97±0.49, 9.29±2.25
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 54.08±7.91, 95.66±4.18, <0.0001, 99.6±0.8, 0.054, 97.18±2.96, 0.0019, 21.1±2.07, 0.0338, 81.03±3.12, <0.0001, 1±0.0, <0.0001, 99.08±1.21, 20±1.84, 53.58±0.1
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 51.75±7.88, 97.08±3.6, 0.0105, 99.6±0.8, 0.0257, 98.44±1.38, 0.1631, 21.6±1.54, <0.0001, 82.03±3.38, <0.0001, 1±0.0, <0.0001, 98.94±1.35, 14.77±2.05, 51.2±0.11
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 42.06±7.43, 96.29±3.43, 0.0124, 99.49±1.12, 0.0287, 97.24±2.95, 0.1369, 21.47±1.96, <0.0001, 79.35±5.78, <0.0001, 1±0.0, <0.0001, 98.32±2.63, 11.47±2.05, 41.35±0.2
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 35.24±9.98, 96.86±3.36, 0.0105, 99.54±1.3, 0.0887, 98.38±2.98, 0.5659, 20.9±1.83, <0.0001, 81.3±7.14, <0.0001, 1±0.0, <0.0001, 98.76±2.08, 7.2±1.4, 34.8±0.21
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 29.89±8.04, 97.69±3.04, 0.2228, 99.48±1.11, 0.0341, 98.2±2.34, 0.5804, 21.7±2.07, <0.0001, 85.16±5.29, <0.0001, 1±0.0, <0.0001, 98.52±2.14, 5.67±1.09, 29.45±0.17
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 27.86±9.96, 98.25±2.4, 0.2052, 99.68±1.08, 0.1363, 98.68±2.53, 0.59, 21.53±1.94, <0.0001, 87.28±6.86, <0.0001, 1±0.0, <0.0001, 99.01±2.19, 4.3±1.06, 27.58±0.22
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 17.08±9.95, 97.32±10.95, 0.7131, 99.68±0.86, 0.0211, 99.58±1.15, 0.0334, 22.33±1.71, <0.0001, 95.73±5.17, 0.0429, 1±0.0, <0.0001, 98.1±3.54, 1.97±0.81, 16.75±0.35
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 13.54±9.94, 79.07±40.32, 0.9826, 79.54±40.48, 0.9467, 79.62±40.51, 0.9405, 21.7±2.15, <0.0001, 78.84±40.19, 1.0, 1±0.0, 0.4733, 78.84±40.19, 1.1±0.76, 10.68±3.99
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 63.88±7.34, 97.28±2.08, 0.0005, 84.52±3.37, <0.0001, 98.04±1.51, 0.0214, 21.6±1.79, 0.8012, 84.52±3.37, <0.0001, 1±0.0, <0.0001, 98.78±0.85, 21.8±3.94, 63.11±0.06
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 59.65±7.5, 97.71±2.39, 0.0029, 88.02±3.95, <0.0001, 98.96±1.55, 0.5211, 21.6±1.94, <0.0001, 88.02±3.95, <0.0001, 1±0.0, <0.0001, 99.17±0.95, 17.3±3.71, 59.15±0.07
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 55.85±5.94, 98.3±1.67, 0.0043, 88.73±3.26, <0.0001, 98.8±2.15, 0.2151, 21.2±2.31, <0.0001, 88.73±3.26, <0.0001, 1±0.0, <0.0001, 99.33±0.89, 12.03±3.37, 55.47±0.05
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 56.65±9.59, 97.99±1.81, 0.2601, 89.56±4.14, <0.0001, 98.51±2.14, 0.677, 21.47±2.18, <0.0001, 89.56±4.14, <0.0001, 1±0.0, <0.0001, 98.82±3.56, 11.33±1.42, 55.99±0.34
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 51.12±7.76, 98.22±2.04, 0.2772, 88.86±3.16, <0.0001, 98.77±1.61, 0.874, 21.7±1.88, <0.0001, 88.86±3.16, <0.0001, 1±0.0, <0.0001, 98.86±2.49, 8.87±1.57, 50.53±0.19
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 48.78±8.59, 99.02±1.65, 0.9751, 88.16±4.13, <0.0001, 99.01±1.26, 0.9796, 21.63±1.85, <0.0001, 88.16±4.13, <0.0001, 1±0.0, <0.0001, 99.0±2.87, 7.43±1.36, 48.29±0.25
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 42.35±9.21, 99.25±1.52, 0.4503, 92.6±3.58, <0.0001, 99.64±1.06, 0.0942, 21.03±1.85, <0.0001, 92.6±3.58, <0.0001, 1±0.0, <0.0001, 98.88±2.22, 4.73±0.94, 41.87±0.2
../../Results/battery_tic-tac-toe_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, tic-tac-toe, 36.68±10.26, 99.6±1.06, 0.1554, 98.21±4.35, 0.7866, 99.88±0.49, 0.0676, 21.6±1.73, <0.0001, 98.21±4.35, 0.7866, 1±0.0, <0.0001, 98.51±4.01, 2.93±1.08, 36.13±0.41
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 70.05±8.0, 96.2±2.64, 0.0042, 99.86±0.35, <0.0001, 97.11±2.5, 0.138, 20.8±2.07, <0.0001, 99.77±0.48, <0.0001, 22.07±5.23, <0.0001, 97.99±1.96, 33.03±3.9, 68.64±0.16
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 67.53±13.49, 95.15±4.03, 0.0522, 99.78±0.58, 0.0005, 95.71±5.27, 0.2283, 20.93±2.16, 0.0003, 99.55±0.95, 0.0016, 19.93±6.08, 0.0024, 97.16±3.83, 24.2±4.12, 65.61±0.52
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 69.42±14.13, 94.79±3.54, 0.4169, 99.85±0.34, <0.0001, 96.96±2.69, 0.0036, 21.47±2.03, <0.0001, 99.45±0.81, <0.0001, 23.77±6.13, <0.0001, 93.9±4.82, 18.3±3.58, 65.19±0.68
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 61.66±16.89, 95.92±3.45, 0.1112, 100.0±0.0, <0.0001, 97.67±1.93, 0.0006, 22.07±1.6, <0.0001, 99.27±1.01, <0.0001, 23.27±5.89, <0.0001, 94.12±5.02, 13.67±3.15, 58.04±0.85
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 57.52±22.37, 97.31±3.4, 0.0014, 99.78±0.61, <0.0001, 97.86±2.58, 0.0002, 20.97±2.3, <0.0001, 99.6±0.75, <0.0001, 22.77±6.33, <0.0001, 92.87±6.4, 9.9±2.9, 53.42±1.43
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 48.84±23.46, 94.02±17.89, 0.3787, 96.42±18.22, 0.169, 94.58±18.2, 0.3222, 21.33±2.11, <0.0001, 96.14±18.18, 0.1874, 23.93±5.98, <0.0001, 89.93±17.88, 6.87±2.73, 43.93±4.19
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 19.78±18.73, 78.48±40.05, 0.9729, 79.91±40.64, 0.8647, 79.14±40.33, 0.9225, 21.23±1.92, <0.0001, 79.77±40.58, 0.8747, 24.73±5.58, <0.0001, 78.13±40.03, 2.8±2.16, 15.45±7.5
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, tic-tac-toe, 13.61±9.91, 76.0±42.69, 0.9869, 76.36±42.86, 0.9609, 75.62±42.53, 0.986, 21.43±2.03, <0.0001, 76.52±42.94, 0.9495, 24.6±6.19, <0.0001, 75.82±42.64, 1.57±1.1, 10.32±4.22
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 66.6±6.8, 97.31±1.7, 0.0039, 95.43±2.39, <0.0001, 97.49±1.72, 0.0128, 20.97±2.17, <0.0001, 99.67±0.66, 0.0019, 24.7±4.24, 0.0043, 98.61±1.66, 27.87±4.02, 65.67±0.11
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 65.09±7.8, 97.04±2.29, <0.0001, 96.97±2.34, <0.0001, 97.83±2.05, 0.0004, 20.87±2.1, 0.0502, 99.7±0.58, 0.0208, 25.87±4.28, 0.0002, 99.31±0.71, 22.13±2.76, 64.64±0.06
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 53.73±8.74, 97.85±2.13, <0.0001, 98.89±1.47, 0.025, 98.64±1.84, 0.0118, 21.47±2.06, <0.0001, 99.96±0.24, 0.0076, 25.23±3.34, <0.0001, 99.58±0.71, 15.53±2.69, 53.5±0.06
